sampleID;class
6_Extraction_blank_1;Process_Blank
12_QC;Quality_Control
13_QC;Quality_Control
23_QC;Quality_Control
35_QC;Quality_Control
44_QC;Quality_Control
45_QC;Quality_Control
14_Leaves;Samples
15_Roots;Samples
16_Stem_bark;Samples
17_Leaves_2;Samples
18_Roots_3;Samples
19_Stem_bark_3;Samples
20_Leaves_3;Samples
21_Roots_1;Samples
22_Stem_bark;Samples
24_Leaves;Samples
25_Roots;Samples
26_Leaves_4;Samples
27_Stem_bark_4;Samples
29_Stem_bark_5;Samples
30_Stem_bark_2;Samples
31_Stem_bark_1;Samples
32_Roots;Samples
33_Leaves;Samples
34_Stem_bark;Samples
36_Leaves_1;Samples
37_Roots_2;Samples
38_Roots_4;Samples
39_Leaves_5;Samples
40_Roots_5;Samples
41_Stem_bark;Samples
42_Leaves;Samples
43_Roots;Samples
