sampleID;class
46_Extraction_blank_1_polar;Process_Blank
12_QC_polar;Quality_Control
13_QC_polar;Quality_Control
23_QC_polar;Quality_Control
35_QC_polar;Quality_Control
44_QC_polar;Quality_Control
45_QC_polar;Quality_Control
14_Leaves_polar;Samples
15_Roots_polar;Samples
16_Stem_bark_polar;Samples
17_Leaves_2_polar;Samples
18_Roots_3_polar;Samples
19_Stem_bark_3_polar;Samples
20_Leaves_3_polar;Samples
21_Roots_1_polar;Samples
22_Stem_bark_polar;Samples
24_Leaves_polar;Samples
25_Roots_polar;Samples
26_Leaves_4_polar;Samples
27_Stem_bark_4_polar;Samples
29_Stem_bark_5_polar;Samples
30_Stem_bark_2_polar;Samples
31_Stem_bark_1_polar;Samples
32_Roots_polar;Samples
33_Leaves_polar;Samples
34_Stem_bark_polar;Samples
36_Leaves_1_polar;Samples
37_Roots_2_polar;Samples
38_Roots_4_polar;Samples
39_Leaves_5_polar;Samples
40_Roots_5_polar;Samples
41_Stem_bark_polar;Samples
42_Leaves_polar;Samples
43_Roots_polar;Samples
