"","AlignID","Factor","tmean","FoundIn","6_Extraction_blank_1_polar","12_QC_polar","13_QC_polar","23_QC_polar","35_QC_polar","44_QC_polar","45_QC_polar","14_Leaves_polar","15_Roots_polar","16_Stem_bark_polar","17_Leaves_2_polar","18_Roots_3_polar","19_Stem_bark_3_polar","20_Leaves_3_polar","21_Roots_1_polar","22_Stem_bark_polar","24_Leaves_polar","25_Roots_polar","26_Leaves_4_polar","27_Stem_bark_4_polar","29_Stem_bark_5_polar","30_Stem_bark_2_polar","31_Stem_bark_1_polar","32_Roots_polar","33_Leaves_polar","34_Stem_bark_polar","36_Leaves_1_polar","37_Roots_2_polar","38_Roots_4_polar","39_Leaves_5_polar","40_Roots_5_polar","41_Stem_bark_polar","42_Leaves_polar","43_Roots_polar"
"1",7,"Factor #7",21.1351,34,11.34132,4.608887,5.199467,11.20783,6.569435,101.1134,103.9881,6850.204,169.241,2516,10865.08,196.1599,3254,13092,123.8603,9438.107,12032.44,328.5477,1207,1.350942,4.879183,2.184253,6.939971e-10,219.0447,13100.66,6.623552,9138.416,85.86681,440.8588,13058.44,444.3868,6.837983,14239.35,339.778
"2",13,"Factor #13",21.1385,34,10.24128,361.4333,322.8934,347.5504,447.5042,431.3249,335.0318,1336.376,46.32317,705.0449,2058.103,75.14303,534.9579,858,68.60257,952.0488,1245,38.01608,897.6039,39.23495,60.61841,26.03546,42.43265,114.4623,1175,42.31368,1738,43.23158,22.33389,956,25.82927,44.77897,952,29.87235
"3",14,"Factor #14",21.1594,34,63.19729,9.616415,14.55787,51.4068,201.1803,265.3686,236.1508,2758.866,749,2149.138,3107.562,779,2040.794,3695.402,262.8765,3258.014,2405.043,983,2543.294,17.31966,8.077482,11.05357,0.9788307,665,4326.006,1015.354,2237.875,240.9541,1176,4737.354,1100,3602.267,4723.047,676
"4",11,"Factor #11",21.1904,34,42.47812,1.879539,11.76351,17.989,216.1496,482.39,447.6152,7034.013,433.4428,8982.15,8985.259,694.4865,2793.161,10687.17,645.2468,1166,9087.619,534.2613,8659.064,1.014033,1.07136,1.497034,2.598554,704.7352,11903.7,11577,12051,563.9381,368.8504,13058.44,655.2109,11818.73,13012.74,922.1707
"5",3,"Factor #3",21.2088,34,38.5664,53.31888,1.176403,11.62869,356.2102,515.9714,459.0877,1863,895.8585,5809.765,1184,923.6412,2767,909,1053.426,1889,9483.665,890.1734,9665.545,1.248087,0.7124635,1.237831,1.385164,818.5413,781,11894.68,12051,820.3801,694.2104,13058.44,875.0922,11867,11244.27,940.2622
"6",10,"Factor #10",21.2451,34,235.3829,6824.687,1576.719,290.5513,518.2984,531.2232,534.2296,1240,895.8585,5633.338,1163,902.3637,649.3419,783,1004.653,7337.649,6174.291,890.1734,5813.573,203.9404,181.4524,176.9817,248.6976,818.5413,8641.316,11799.69,11765.6,820.3801,679,10984.54,844.6439,11483.3,9809.948,940.2622
"7",4,"Factor #4",21.2468,34,92.74159,3478.333,6610.209,72.47939,379.0345,531.2232,482.2376,3162.734,905,2400,1175,922,1913,8107.991,1055,7572.847,1310,903,6085.684,6.84777,23.26685,14.22164,75.35305,818.5413,697,12163,12018,817,694.2104,1175,840,10808,809,929
"8",8,"Factor #8",21.2469,34,201.611,3670.971,1101.305,334.4102,518.2984,540.7731,553.5611,2231.918,825.1299,3983.98,4627.988,667.9415,357.8061,5505.482,757.1304,5062.137,4358.852,820.5729,1179,265.5287,252.678,146.6356,320.3696,716.9146,1090,8174.978,8203.566,723.3753,694.2104,7608.79,693.0725,7836.964,1037,809.0984
"9",5,"Factor #5",21.3466,34,75.39185,9827,9770,0.2272968,41.55422,217.5902,193.6466,513.9405,2.52897e-08,1296.669,4232.364,1.49748,630.7653,5797.231,52.19645,6673.146,3379.659,123.8226,5006.511,0.435983,9283.826,9932.435,9245.315,50.94561,7284.695,10956.58,9287.034,186.8121,272.0577,7507.753,113.935,9803.297,7054.241,168.4328
"10",15,"Factor #15",21.3482,34,13.85853,1241.906,1422.404,862,892.0438,995,1032.977,1437,179.4651,348.6806,1177.525,15.13471,267.5252,1360,62.6933,648.5401,1384,351.7358,1681,103.9261,1208.08,1320.728,1203.869,12.07748,1414.648,1211.053,1569.282,76.92651,3146,1378,642.0457,1170.097,1452,749
