"","AlignID","Factor","tmean","FoundIn","6_Extraction_blank_1_polar","12_QC_polar","13_QC_polar","23_QC_polar","35_QC_polar","44_QC_polar","45_QC_polar","14_Leaves_polar","15_Roots_polar","16_Stem_bark_polar","17_Leaves_2_polar","18_Roots_3_polar","19_Stem_bark_3_polar","20_Leaves_3_polar","21_Roots_1_polar","22_Stem_bark_polar","24_Leaves_polar","25_Roots_polar","26_Leaves_4_polar","27_Stem_bark_4_polar","29_Stem_bark_5_polar","30_Stem_bark_2_polar","31_Stem_bark_1_polar","32_Roots_polar","33_Leaves_polar","34_Stem_bark_polar","36_Leaves_1_polar","37_Roots_2_polar","38_Roots_4_polar","39_Leaves_5_polar","40_Roots_5_polar","41_Stem_bark_polar","42_Leaves_polar","43_Roots_polar"
"1",2,"Factor #2",3.0238,34,27378,29209,364.8227,16581.78,447.4286,518.0263,22182,472.3898,358.635,28917,1408.41,4943,29199,26682,28006,303.8636,492.7542,26389,29596,262.4659,1502.326,390.2356,336.7449,27821,30175,405.3927,496.2603,27276,4923,1792.224,28038,423.2822,29109,27804
"2",5,"Factor #5",3.0307,34,722.5408,2213.06,2079.825,2011.612,29116,29069,4775,2739,1252.896,29112,2268.268,942.8957,3156.106,26682,950.5634,2094.862,3483.706,635.7263,2725.31,28602,29255,27748,1920.018,708.7621,2625.112,26459,26375,887.8331,1133.09,2397.447,1179.222,2406.054,3061.527,1271.451
"3",22,"Factor #22",3.0318,34,371,2931.796,2935.029,2998.32,3056.789,2915.406,1387.699,3729.879,363,3083.767,3888.713,324,5144.076,1046.441,111.0186,2851.633,4952.115,319,3879.157,1931.628,2311.741,2153.849,2643.853,162.099,4578.234,3054.968,3490.965,296,305,3675.018,428,3047.921,3787.883,158.6513
"4",8,"Factor #8",3.0326,34,1616.289,4784,2146.849,14906,3828.079,3437.249,399.7654,12383,677.9463,4619,2621.976,726.8809,5709,2339,653.2523,4390,10403,670.2667,2819.727,2310.923,4182,2942.207,2115.788,646.1734,5489,2276.129,5251,733.2136,723.4988,2755.274,751.703,13528,2648.51,724.1496
"5",21,"Factor #21",3.0359,34,17.5655,21.88624,31445,18.47919,36.21471,48.26711,21.56562,38.3608,30.32362,27.86996,31175,24.67244,13.80846,20.67404,47.07834,27.05097,38.29418,18.95109,21.7109,22.88449,28.63549,26.31643,31294,7.976495,23.38785,34.03424,25.85615,37.33113,31829,23.19523,35.75683,10.30237,24.68496,25.74839
"6",1,"Factor #1",3.0369,34,138.2539,4625,3869.636,4516,4604,4273,1708.556,5428,180.8821,4636,4722.54,168.4758,7496,1878.285,151.6795,4553,6568,180.9372,6285,2896,4353,3468,3822,152.8822,6982,4768,5541,172.2681,166.5408,5768,201.5113,4895,5618,180.7104
"7",6,"Factor #6",3.0375,34,3456,234.1705,412.6924,449.8749,415.4473,542.4417,4775,329.636,333.5032,287.023,290.0896,27948,414.2834,431.6511,4439,307.8024,405.4917,279.4888,365.0143,233.2429,324.2819,395.5194,262.4746,3827,30174,383.0123,406.4125,26352,349.7432,451.1986,5001,363.8221,29109,4864
"8",14,"Factor #14",3.0379,34,14.33098,117.2897,138.6037,120.2252,176.231,218.3694,491.8157,12383,57.0898,157.3776,85.5484,47.30381,161.2187,238.0458,43.22901,129.8845,200.9801,42.01729,127.0959,104.1813,152.9171,175.0722,118.8222,20.89954,145.2236,163.7346,168.4206,53.57572,44.44031,128.5769,59.51008,13528,186.5293,49.30181
"9",4,"Factor #4",3.0479,34,222.568,3813,3913,969.8876,1208.148,4549,3345,1262.034,359.2421,3978,4292,312.6626,7140,3556,277.3344,964.5084,1029.571,262.0873,1154.783,988.5908,1104.56,4529,1069.637,287.5712,5703,4002,1220.383,327.4294,372.2067,6047,503.2328,4780,1192.762,396.5373
"10",11,"Factor #11",3.1249,34,222.1988,2746.591,3130.553,2640.043,2983.219,2572.857,1250.055,3810.109,243.93,2600.386,3378.44,368.0165,4528.142,1394.994,242.4086,3763,3467.752,257.6061,4120.98,2453,2407.951,2896,2515.26,238.5548,4440.348,2573.515,4364,384.8693,317.0824,4648,288.3809,3176.607,3539.957,383.5748
