"","AlignID","Factor","tmean","FoundIn","6_Extraction_blank_1","12_QC","13_QC","23_QC","35_QC","44_QC","45_QC","14_Leaves","15_Roots","16_Stem_bark","17_Leaves_2","18_Roots_3","19_Stem_bark_3","20_Leaves_3","21_Roots_1","22_Stem_bark","24_Leaves","25_Roots","26_Leaves_4","27_Stem_bark_4","29_Stem_bark_5","30_Stem_bark_2","31_Stem_bark_1","32_Roots","33_Leaves","34_Stem_bark","36_Leaves_1","37_Roots_2","38_Roots_4","39_Leaves_5","40_Roots_5","41_Stem_bark","42_Leaves","43_Roots"
"1",1,"Factor #1",3.0271,34,20756,5377.198,16164,17443.57,17326,11611.26,15074.47,15839,15939,17329,5228.353,6018.815,6719.66,9506.039,12021.66,12683.16,14494.92,19941,8442.236,14672.74,16879,6425.153,13731,18245,8190,10900.44,5425.233,20296,11818.33,17677,20805,13731.61,13236.29,13809
"2",4,"Factor #4",3.0301,34,131.2798,1412.771,1463.791,1542.604,1617.223,1466.16,1500.036,20932,535.1359,20101,13833,300.6802,1380.411,15780,227.9439,982.5312,1793.929,273.2724,17502,818.9634,18514,1227.817,1076.878,330.9725,22121,1023.31,12607,322.5899,354.8774,16220,408.0346,1179.059,23570,504.9353
"3",2,"Factor #2",3.0374,34,648.2647,31283,31525,1809.915,1850.228,1683.966,1714.332,1941.676,1600.155,1576.383,1757.926,1728.305,1692.691,1998.573,1478.429,1532.613,2056.769,1459.197,2070.992,1206.953,1343.587,1687.488,31162,1641.78,1693.565,1739.769,1651.679,1616.909,1403.898,2094.418,1846.521,1568.396,1978.918,2951.734
"4",5,"Factor #5",3.0382,34,599.8612,2101.264,1994.879,26825,2136.818,1968.939,2208.62,2499.828,1240.51,22964,2113.759,1455.448,2121.808,2578.714,1493.653,2038.229,2734.947,1558.875,7736,1884.383,1854.801,2110.416,2058.935,1639.273,1939.01,1985.538,2169.944,1475.891,1147.377,2915.46,1538.436,2104.538,2790.996,2653.718
"5",8,"Factor #8",3.0394,34,446.2737,1688.99,1457.096,1291.854,1643.053,1250.662,1331.343,832.7703,1823.144,1206.551,1376.622,3134.676,1085.258,919.2189,2490.886,1154.403,922.33,31420,1101.017,596.9188,817.784,1563.062,1837.276,31565,952.3096,1431.135,908.2414,2017.653,2315.317,1011.048,3056.613,1284.681,1093.097,44327
"6",7,"Factor #7",3.0401,34,212.3276,399.1665,335.6224,385.5953,310.6028,327.5715,326.8513,373.0212,378.7923,257.7874,406.3529,31581,275.8048,377.9969,477.9116,345.8848,464.2884,386.8279,484.918,30996,266.1877,320.6247,364.842,490.7266,410.0176,258.5898,381.442,474.8685,320.5717,439.6174,546.2685,309.574,431.7569,771.6365
"7",9,"Factor #9",3.0426,34,1480.792,3037,3816.401,4166.079,4304,3621,2268,3533.807,5271,2826.851,2946.972,2816,2348.046,2102.944,4063,2438,4315.558,4292.127,4247.944,3377,3573.322,3349.46,3243,4714.829,6682.479,2257,2603.337,3583.107,4332.098,4589.184,1890,2824.981,3083.036,2753.215
"8",6,"Factor #6",3.0428,34,417.9718,1528.531,1387.81,638.6974,694.9874,551.6636,669.583,742.5949,26525,387.0476,856.5757,4175.309,607.7474,833.2198,560.4959,403.104,820.5382,1265.66,973.5131,392.9977,523.3808,712.4932,462.3034,751.349,949.0855,493.5743,806.8132,534.2858,428.8632,899.9804,28433,562.5687,987.4812,519.9905
"9",3,"Factor #3",3.0441,34,1084.332,3967,3907.62,3644.296,4336.547,4101,4057,6166,592.8966,5138.203,4917,712.968,5460,7539,1118.001,4798,7315,560.636,7577,4282,5047.011,4747,4821.134,562.1059,1439.331,17989,5690,1088.083,550.4316,6330,629.548,4870,7319.714,579.602
"10",15,"Factor #15",3.1288,34,2734.487,3984.106,3804.661,2537.04,3118,3909.008,3729.363,3924.75,3617.726,2714.967,3938.31,3475.01,3098.512,3916.323,3892.376,2206.893,2446.626,3624.699,2698.202,3183.799,3316.316,4055.174,3526.043,3376.047,3134.263,1791.704,4131,4122.164,3232.382,2986.789,3687.131,1879.451,2477.937,2957.967
