"","AlignID","Factor","tmean","FoundIn","12_QC","13_QC","23_QC","35_QC","44_QC","45_QC","14_Leaves","15_Roots","16_Stem_bark","17_Leaves_2","18_Roots_3","19_Stem_bark_3","20_Leaves_3","21_Roots_1","22_Stem_bark","24_Leaves","25_Roots","26_Leaves_4","27_Stem_bark_4","29_Stem_bark_5","30_Stem_bark_2","31_Stem_bark_1","32_Roots","33_Leaves","34_Stem_bark","36_Leaves_1","37_Roots_2","38_Roots_4","39_Leaves_5","40_Roots_5","41_Stem_bark","42_Leaves","43_Roots"
"1",1,"Factor #1",43.1094,32,0,327.2892,309.4423,357.332,444.3299,559,913,821.6534,208.8561,615,407.4883,45.35807,1365,1269.265,166.107,1110,1021.329,985,909.3499,203.5916,428.4925,69.5746,493.1705,997,827.3374,1230,1175.185,397.7623,833,732.136,109.7597,1153,1012.909
"2",2,"Factor #2",43.1269,32,0,20.0872,47.37529,26.74328,75.07214,50.31349,56.63274,2537,2765.396,73.31707,49.72843,94.8013,37.9606,103.0834,45.13641,36.68382,2581,2787.877,31.5432,55.84594,69.86957,36.05652,2933,3079.809,105.337,50.27893,14.34648,18.81707,30.18385,28.90818,24.9423,22.9937,3558
"3",4,"Factor #4",43.2694,33,502,2706.408,1440.209,3099.151,3773.296,5690.922,5787.739,7599.413,46.22302,754.8069,14794.29,21.29231,894.4076,27340.38,115.9644,901.2607,20309.42,11345,20079.97,507.1755,1074.125,104.9171,1998.672,20.21718,6047.276,1002.499,27915.17,264.9245,31.48539,11378.26,25.15447,24257,26046.09
"4",3,"Factor #3",43.2821,33,4128,4440,4515,4845,5417,5587,20073,21790,667,14696,15681.29,837,26566,28558.04,815,23301,25300.01,19946,523,1241,1374.86,1805,1998.672,22382,949,26303,28344.45,264.9245,17637,18834.37,756,24800,26046.09
"5",5,"Factor #5",43.6267,33,31.14801,426.9126,353.7895,548,617,677,1478,1475.32,109.7674,1032,1035.984,84.54978,1407,1461.52,169.3842,2193,2182.08,1628,1569.197,135.7668,308.3776,67.43906,322.2663,2030,2015.864,3110,2944.966,355.9606,1727,1789.164,213.1272,2683,2599.752
"6",6,"Factor #6",43.7042,33,26.13696,10.41987,6.489411,5.778697,59.09235,35.86319,44.30415,12.91725,26.34795,492.1393,21.99528,26.54297,56.72018,5.134175,636,641.4654,7.875277,8.716692,48.52767,570,569,573.0329,371.1481,10.88858,643,644.1271,11.02905,29.43479,33.2439,54.72163,4.155561,471.5782,48.5041
"7",7,"Factor #7",43.7602,33,10.47961,251.0131,318.82,320.4765,277.3177,391.5688,330.4184,855.5662,76.53055,678,661.4209,10.27733,1388,1418.924,58.39308,1037,1039.463,740,779.4701,136.567,201.546,73.93843,262.0168,1009,870.217,1139,1123.526,84.48446,728,713.2762,24.87597,114.6931,998.4287
"8",8,"Factor #8",43.8391,33,44.66133,65.00987,52.22068,63.48736,78.99212,52.21717,79.73701,635.9956,135.3553,21.43114,204.3963,48.34512,16.1313,528.9498,58.56178,714,737.9256,128.6109,487.7103,10.68551,29.05235,12.15684,36.91076,175.7797,638.3023,29.22423,467.2561,119.4524,929.7247,605.2364,18.44504,824,793.2687
"9",9,"Factor #9",43.9006,33,95.87071,328.7289,337.0702,162.6839,270.389,173.2121,1048,1045.998,123.0881,609,587.2943,54.8193,1013,1004.045,156.6593,979,1068.744,393.5342,671.7064,123.4505,217.6341,36.21344,388.3226,435.5594,1003.869,1275,1273.687,167.2427,753,754.244,91.40839,1167,1182.707
"10",10,"Factor #10",43.958,33,19.5292,823.7945,1060.62,1040.898,1036.606,1110.796,1162.72,1251.579,1523,1484.771,707.4926,1668,1651.061,1495.008,1590,1590.674,1427.967,267.8552,696,1590,1725.49,3531,3578.314,212.1836,1866,1896.821,1323.532,929,916.1784,1170.578,1748,1702.106,1276.744
"11",13,"Factor #13",43.9691,33,40.4655,891.6841,1140,1067.532,984.7081,1314.793,1283.476,1153.535,224.5349,980,796.1147,42.93661,1606,1353.872,183.1881,1397.473,1352.712,244.1452,995.6636,578.4784,1531.304,278.6676,2985.004,249.9498,1419.228,1802.027,1690.071,325.3359,852.0867,1277.318,148.5418,1668.283,1673.053
"12",11,"Factor #11",43.9761,33,4988,5904,6225,6659,8115,8121,7476,1051,1190,5370,5338.089,2179,7848,715,1370,8630,1000,6933,824,827.2691,1779.976,2140,1037,9238,1727,9509,9435.613,875,7135,561,2129,11212,1312
"13",12,"Factor #12",43.9773,33,69.20687,5073.619,5868.716,6184.919,8115,8121,8069.009,7406.923,990.9908,1197.928,5338.089,138.2388,7848,7780.539,731.2477,1385.131,8527.69,936.364,6625.802,827.2691,1926.082,150.2462,2122,1045.798,9141.712,8667,9435.613,926.1993,865.4286,7398.478,560.8034,11212,11105.03
"14",14,"Factor #14",44.0779,33,31.14776,342.8242,336.0536,371.3691,351.9529,323.3476,311.278,655.7105,36.57021,189.0032,250.1247,5.322113,843,673.9606,9.354821,224.4116,700.4883,53.93736,689.1767,22.84894,69.87713,775,780.3961,12.85994,673.9836,230.1428,804.3544,2.944833,75.77501,703.2703,31.56113,149.4317,646.3695
