"","AlignID","Factor","tmean","FoundIn","12_QC","13_QC","23_QC","35_QC","44_QC","45_QC","14_Leaves","15_Roots","16_Stem_bark","17_Leaves_2","19_Stem_bark_3","20_Leaves_3","21_Roots_1","22_Stem_bark","24_Leaves","25_Roots","26_Leaves_4","27_Stem_bark_4","29_Stem_bark_5","30_Stem_bark_2","31_Stem_bark_1","32_Roots","33_Leaves","34_Stem_bark","36_Leaves_1","37_Roots_2","38_Roots_4","39_Leaves_5","40_Roots_5","41_Stem_bark","42_Leaves","43_Roots"
"1",1,"Factor #1",53.7155,32,22.49097,326.3867,269.2488,300.9175,306.3739,528.318,3558,3305.294,50.90817,99.36695,2200.199,3552,97.16604,3297.432,4162,108.1112,4021,50.0652,3717.143,302.5217,222.4668,149.8739,3944,97.20696,3825.325,176.2125,3011.787,47.24232,66.20615,4092.299,4415,84.2094
"2",2,"Factor #2",53.7195,32,7.98506,62.50795,142.3193,276.5615,306.3739,528.318,3558,3334.174,22.60975,2347,2212.005,3589,16.50925,3334.669,4162,62.69609,4021,37.88135,3717.143,324.1758,32.74585,61.87868,3944,20.16663,3155,166.9884,3011.787,43.58646,51.93646,4092.299,74.36685,13.82049
"3",3,"Factor #3",53.9648,32,344.3489,63.42625,191.2686,69.04548,143.3972,82.82955,539.4892,328.1853,1147.402,85.68042,42.41315,336.7298,2616,60.3053,2821.015,85.26459,185.3433,1365.721,66.20976,289.6834,50.08893,62.89253,115.3009,1275,41.85947,1138.643,306.337,1344.547,223.616,10.69722,984.7861,53.05387
"4",4,"Factor #4",53.9991,32,1090,1648,1848,1610,2349,2328,1790,1493,1268,1117.376,3172,1018,4170,1588,2203,1811,3593,1445.327,3433.909,1590,454.474,2040,2418,2249,2517.205,2159.158,527.9114,155.1435,314.5972,2151,3109,2029.23
"5",5,"Factor #5",54.3816,32,136.6136,2367.882,2595.386,2666.226,2592,2696,3497,3391.938,4087,2830,2877.763,3873,4763.681,4238,3604,4140.148,2121,1668,2069.037,1603.401,4778.619,519.9502,7983.935,710.5894,3595,3769.319,3395.03,2963,2017.59,4240,3901,4113.626
"6",7,"Factor #7",54.3853,32,70.6463,471.4136,341.7724,558.6902,388.3643,428.4847,396.8674,582.8567,68.52425,531.2695,428.6674,25.53345,755.2881,581,46.75362,629.8884,621.6224,102.1992,922,1330.497,1294,1564.388,1313.534,83.65951,637.4115,533.483,642.9702,29.55379,417.0273,751,172.282,641.094
"7",6,"Factor #6",54.4569,32,12.40147,120.9482,59.0856,245.8047,199.2744,270.7481,51.35237,6.098214,1631,1633.215,1620,26.54268,1600.156,385.6784,1.689493e-09,1745.087,99.75442,2275,1.244441e-09,2772,1611.677,2780.089,1033.207,1936,528.5213,1880.173,33.31316,48.29173,59.34697,24.60655,1.663856e-09,1478.738
"8",8,"Factor #8",54.6919,28,102.8045,0,34.85346,26.76401,29.02851,29.46424,62.68423,1112,1036.032,26.07504,9.10566,389.5454,1082,24.4037,1101.394,1209,45.80895,1136.759,152.0198,978.546,13.3026,26.45725,35.66834,0,0,820.8536,78.42874,461.6782,46.37722,0,1076.695,41.89984
"9",9,"Factor #9",54.8275,32,3740,3827,4090,4022,4259,4518,5086,1269,1260.22,3789,3706.27,6325,10373.75,6097.725,5729,6580.031,3056,3179,6004,3206.249,12010,1343,4971,6785,4886.528,6666.95,1259,4437,1176.306,7066,5605,1440
"10",10,"Factor #10",54.9706,32,33.84114,435.8003,543.2326,594.4312,553.2993,532.6788,535.9571,96.68461,731.708,541.9649,1153,3.764675,986.3833,1.51244e-08,608.8455,553.3781,1.236814e-09,764.2145,27.65071,232.1985,1246,76.82686,1106.122,844.4132,112.8945,3818,21.93158,3607.649,102.8024,48.82049,12.45286,624.8356
"11",11,"Factor #11",55.5262,26,0,204.1296,190.0786,188.2382,232.5896,387.3475,1727,1262.201,21.6629,1499,1196.805,2243,0,1614.434,2034,14.4395,1484,0,1038.656,0,22.81478,19.64958,2140,0,1770,7.062896,1294.295,1528,0,1119.347,2162,12.93633
"12",13,"Factor #13",55.6911,32,8104,8494,8683,8447.101,9208,9361,8925.736,13212,14272.76,4846.894,4160.524,1113.658,5016.708,4934.559,7000.859,13557,5166.241,14596.45,3259.476,2441.271,5694.044,14249,9130.355,15246.34,5267.967,4960.363,4737.239,33084.55,49092.16,5700.126,4782.052,14526
"13",14,"Factor #14",55.6922,32,332.2286,7474.727,7979.598,8330.432,8240.797,8994.225,8624.52,4898.393,12963.59,5472.188,4164.879,1113.658,5577.123,5043.112,4460.428,12298,5093.399,13335.46,3007.329,2925.042,6295.186,12489,10992.79,13466.93,5022.528,5498.372,4794.85,21949.27,50635.55,5426.803,5023.228,6010.162
"14",12,"Factor #12",55.6923,32,354.3367,7761.282,8082.507,8495,8240.797,8994.225,5318,4908.65,5668,5408.514,5750,5488,6606,6049,7000.859,5870.945,3465,14380.53,3140.618,2914.899,11106,903.3663,10884.15,5605,5183.028,5566.943,50805,33084.55,50635.55,5700.126,5817,6010.162
"15",18,"Factor #18",55.6952,32,354.3367,7761.282,8082.507,8447.101,8252.923,8893.864,8943.57,4946.76,14116.2,5408.514,4160.524,1113.658,5570.4,5104.103,5493,5827.097,5166.241,14380.53,3254.689,2925.042,6295.186,966.4972,5582,15143.44,5267.967,5498.372,4835.453,5781,50635.55,5712.475,5023.228,6010.162
"16",15,"Factor #15",55.697,32,22.24314,365.0175,793,399.7484,393.6536,322,419.5127,226.695,633.1241,251.116,198.4576,40.07856,253.4264,242.5107,312,877,323,617.3636,157.4214,130.6791,298.9132,141.1743,659,861,245.017,241.9719,232.8516,149.8769,2494.704,936,168,228.3137
"17",16,"Factor #16",55.6995,32,25.94265,500.9819,542.5579,549.7268,555.4609,601.2176,588.4648,357.9574,841.7704,363.6945,295.8398,68.67305,372.797,322.0422,278.8764,361.6352,342,863.9248,248.8,201.0421,434.1378,102.7727,650.8537,917.0734,388.8277,372.8125,354.1032,180.1814,3647.248,769,440,376.8005
"18",17,"Factor #17",55.7683,32,34.64693,315.1852,861.2846,365.4332,325.1859,430.7402,542.7828,171.2351,423.3056,275.4557,78.91127,703.6418,1917,94.0091,1808.308,427.2131,235.5071,395.5722,1294.097,865,243.4743,961.2303,373.6053,463.8761,380.4534,395.4683,76.61579,243.6438,246.1455,114.1728,184.7723,328.3543
"19",20,"Factor #20",56.6577,31,19.50872,362.9679,444.1282,64.27695,390.3667,15.77274,75.7632,910.9231,882.9542,16.40527,541.9387,27.24149,40.19779,968.161,1246,27.8014,1210,247.5584,1034.97,24.51759,37.58909,19.00458,1038,91.15001,910.4933,0,700.8596,1898.208,205.8489,1061.903,22.12725,5.888089
"20",19,"Factor #19",56.6656,31,40.92687,526.9331,652.6462,166.4451,570.8048,32.28345,1079,903.5246,1361.917,26.73922,450.4733,25.12876,46.6138,970.0929,327.908,39.89389,955.8105,479.0232,1057.939,36.921,37.41214,28.8459,8.06571,425.6299,909.0986,0,568.6836,1247,423.2989,1090.966,1345,11.25262
"21",21,"Factor #21",56.7658,31,0,2208,2381,2271.803,2402,2552,2468.972,4880,5195,95.12204,38.02459,65.34739,6503,9.786235e-09,7094.491,4812,39.18921,5168.54,197.8173,14.18477,54.7779,5215,108.4673,5569.092,501.9969,16959,2418,16745.04,2290.544,119.2508,137.746,5758
"22",22,"Factor #22",57.1241,32,332.2389,3482.163,3862.68,3887.951,3810.142,4051.241,4374.953,385.9177,9179.987,232.9916,263.9994,657.7218,236.0309,215.0111,3400.415,247.0228,397.0288,1415,269.4835,1131.368,365.7218,99.15654,356.7986,1429,363.9812,1286.474,428.3602,7471.734,1930,321.4333,1815.632,258.607
"23",23,"Factor #23",57.133,32,3673,3978,4024,3973,4193,4051.241,4382.713,406.2293,9213.024,298.5511,263.9994,650.3579,3337,285.4643,3522.414,8674,427.2647,9296.548,269.4835,1117.894,339.3587,8548,402.7555,9213.529,363.9812,1251.441,38161,7471.734,37977.43,337.2579,1727.287,274.4806
"24",24,"Factor #24",57.3845,29,31.37704,27.52364,15.02821,22.76949,24.23375,16.7687,32.34788,1983,1957.626,0,0,610.3966,1790,11.27546,1760.993,1839,8.739344,1835.97,21.81097,1763.071,55.35671,26.71004,29.68446,1432,0,1329.79,20.43903,541.8967,1183,5.650863,1137.773,1560
